mz,exp_int,the_int,annotation,HNas
152.99049377441406,0.1033,0.0,[],[]
164.66419982910156,9.4419,7.85298114942619,"[(7, 0)]","[[6, 0]]"
164.9936065673828,0.059,0.0,[],[]
164.99749755859375,1.1435,2.299378041334872,"[(7, 0)]","[[6, 0]]"
165.33070373535156,0.3849,0.2980753104103221,"[(7, 0)]","[[6, 0]]"
168.99749755859375,0.1013,0.0,[],[]
175.48880004882812,0.5181,0.0,[],[]
178.60499572753906,0.047,0.0,[],[]
181.97549438476562,0.7261,0.0,[],[]
182.3217010498047,0.1347,0.0,[],[]
185.1593017578125,0.1913,0.0,[],[]
191.31649780273438,0.2602,0.0,[],[]
191.64959716796875,0.0489,0.0,[],[]
191.98280334472656,0.0496,0.0,[],[]
191.993896484375,0.471,0.007710330887444515,"[(20, 1)]","[[6, 0]]"
192.4940948486328,0.0683,0.0008971990912289805,"[(20, 1)]","[[6, 0]]"
194.98150634765625,0.0611,0.0,[],[]
195.99209594726562,0.0499,0.0,[],[]
198.19839477539062,0.0514,0.0,[],[]
198.64639282226562,0.0949,0.0,[],[]
198.98460388183594,0.0721,0.0,[],[]
202.19650268554688,0.2268,0.0,[],[]
203.01890563964844,0.0834,0.0,[],[]
204.64259338378906,0.2291,0.2480717624575327,"[(13, 6)]","[[6, 0]]"
204.97569274902344,1.3311,0.1127086347818792,"[(13, 6)]","[[6, 0]]"
206.2006072998047,0.1502,0.0,[],[]
207.5216064453125,0.0495,0.0,[],[]
207.79640197753906,0.2081,0.0,[],[]
208.02169799804688,0.1195,0.0,[],[]
208.47470092773438,0.097,0.0,[],[]
208.9738006591797,0.1861,0.0,[],[]
210.18780517578125,100.0,99.70627427440576,"[(28, 3)]","[[5, 0]]"
210.3883056640625,32.9934,32.25043013618741,"[(28, 3)]","[[5, 0]]"
210.5876007080078,34.836,34.33016385357369,"[(28, 3)]","[[5, 0]]"
210.78799438476562,7.9703,9.801854515912698,"[(28, 3)]","[[5, 0]]"
210.98739624023438,3.7769,5.309526823620018,"[(28, 3)]","[[5, 0]]"
213.78990173339844,0.3144,0.4910396018014261,"[(9, 3)]","[[5, 0]]"
213.99049377441406,2.0447,0.15912825027334304,"[(9, 3)]","[[5, 0]]"
214.189697265625,0.1383,0.17017784907665076,"[(9, 3)]","[[5, 0]]"
214.5876,35.3468,34.80778942428757,"[(9, 3), (28, 4)]","[[5, 0], [6, 1]]"
214.7863006591797,12.2171,11.25015193895437,"[(28, 4)]","[[6, 1]]"
214.98550415039062,11.1085,11.975640566993114,"[(28, 4)]","[[6, 1]]"
215.00270080566406,0.1325,0.0,[],[]
