0,1,2
404.95032,6881.4,0.0004
407.01624,9132.6,0.0005
407.04431,103076,0.0056
407.52634,8515.9,0.0005
407.53748,12827.7,0.0007
407.54727,16244.9,0.0009
408.013,8523.7,0.0005
408.04572,10553.7,0.0006
414.98083,26601,0.0015
415.47314,15059.4,0.0008
416.02136,8153.2,0.0004
416.04123,7301.6,0.0004
416.46719,9588.6,0.0005
416.99823,50093.7,0.0027
417.32233,14765.8,0.0008
417.47076,120605.2,0.0066
417.49677,16906.8,0.0009
417.9726,19126.4,0.001
417.99594,10648.7,0.0006
418.327,9666.3,0.0005
418.47015,22686.8,0.0012
418.97067,10382.3,0.0006
424.47964,63382.9,0.0035
424.9762,7429.2,0.0004
425.47809,24846.6,0.0014
426.51114,18749,0.001
427.17587,7346.6,0.0004
427.9877,7675.3,0.0004
429.58337,7423.2,0.0004
434.50793,442676.3,0.0242
435.01022,106960.6,0.0058
435.50638,80280.9,0.0044
436.0087,13968,0.0008
438.0174,8223.1,0.0004
445.49954,45892.1,0.0025
446,22494.8,0.0012
446.99747,14895.9,0.0008
447.02209,119817.1,0.0066
447.50342,14810.5,0.0008
447.52402,56254,0.0031
448.02356,26723.3,0.0015
448.52341,9571.4,0.0005
449.51355,30493.8,0.0017
450.01517,13978.4,0.0008
453.00095,6841.9,0.0004
456.02921,33026.3,0.0018
456.49036,25825.8,0.0014
456.9754,627802,0.0343
457.47678,172234.9,0.0094
457.49277,14302,0.0008
457.97354,169659.5,0.0093
458.01306,22075.1,0.0012
458.47437,43313.3,0.0024
458.97382,12531,0.0007
459.00986,9436.6,0.0005
459.47055,10054.5,0.0005
461.25934,10561.8,0.0006
465.03195,7598.5,0.0004
465.48904,34568,0.0019
466.03036,7876.6,0.0004
466.48483,12878.4,0.0007
467.48114,11694.3,0.0006
467.96588,67602.9,0.0037
468.96371,17352.4,0.0009
469.46609,7978.4,0.0004
470.03986,6601.7,0.0004
473.34903,8233.7,0.0005
475.49319,7533.9,0.0004
475.99521,8135.1,0.0004
477.02621,8585.4,0.0005
477.97937,6717.1,0.0004
477.99716,11181.3,0.0006
478.49826,14178.5,0.0008
478.95731,31408.5,0.0017
479.45969,9764.4,0.0005
485.03162,276865.6,0.0151
485.53247,86496.9,0.0047
486.00214,10282.7,0.0006
486.03186,59736.4,0.0033
486.53156,21785.3,0.0012
487.00168,1120033.9,0.0612
487.48361,19912.8,0.0011
487.50232,342737.5,0.0187
488.00003,261454.7,0.0143
488.50122,36621.2,0.002
489.0018,31875.9,0.0017
489.49139,49739.4,0.0027
489.94638,17389.1,0.001
489.9942,15559.9,0.0009
492.0181,8111.3,0.0004
492.52405,9476.2,0.0005
493.99127,24255.6,0.0013
494.37735,9215.9,0.0005
495.00049,12066.1,0.0007
495.51578,10341.3,0.0006
496.00772,288524.4,0.0158
496.50864,59179.3,0.0032
496.52328,8082.7,0.0004
496.95358,455254.4,0.0249
497.00415,62697.5,0.0034
497.45517,98962.4,0.0054
497.50958,15910.5,0.0009
497.95203,143819.6,0.0079
497.99149,47066.5,0.0026
498.45398,26873.5,0.0015
498.95013,10677,0.0006
498.98572,7863.8,0.0004
500.00275,57425.7,0.0031
500.33572,16949.7,0.0009
500.66809,34354.9,0.0019
505.45059,6871.8,0.0004
505.46661,43393,0.0024
505.96857,8939.8,0.0005
506.46646,34007.4,0.0019
506.99942,19672.2,0.0011
507.50021,11020,0.0006
507.94485,64119.1,0.0035
507.99893,8033.1,0.0004
508.44473,13133.1,0.0007
508.94351,16995.8,0.0009
508.9852,18871.3,0.001
513.96088,9690.2,0.0005
514.98474,7978,0.0004
518.93585,22505.2,0.0012
519.93689,10125.8,0.0006
519.96808,8389.5,0.0005
520.9823,14690.4,0.0008
526.01855,52905.7,0.0029
526.52161,22762.7,0.0012
526.58972,18214.6,0.001
526.98083,18287202,1
527.48145,5779444.5,0.316
527.97931,5998615,0.328
528.4801,1630784,0.0892
528.97809,701045.7,0.0383
529.47955,186341.6,0.0102
529.97827,81466.8,0.0045
530.47693,7342.8,0.0004
535.49329,720118.3,0.0394
535.94287,10890,0.0006
535.99329,143756.8,0.0079
536.49176,180161,0.0099
536.99097,43080.2,0.0024
537.48627,44014.6,0.0024
537.97101,1949988.4,0.1066
538.47241,675570.4,0.0369
538.96973,572376.4,0.0313
539.4718,137575.9,0.0075
539.96893,82077.7,0.0045
540.47095,23361.7,0.0013
540.96759,8721.1,0.0005
542.50031,9331.1,0.0005
543.49982,10221.1,0.0006
544.008,43770.7,0.0024
544.5036,10265.8,0.0006
545.0036,9998.2,0.0005
545.95618,138159.9,0.0076
546.45697,36194,0.002
546.95642,55854.9,0.0031
546.97711,20628.5,0.0011
547.4577,23456.5,0.0013
547.47876,11994,0.0007
548.96252,582782.3,0.0319
549.46466,134305.6,0.0073
549.50885,61268.6,0.0034
549.96179,156080.3,0.0085
550.01129,24597.3,0.0013
550.46228,61148.6,0.0033
550.50922,17431.8,0.001
550.96643,10384.9,0.0006
553.94043,139913.9,0.0077
554.44061,26258.1,0.0014
554.94,50304.1,0.0028
556.00671,255205.7,0.014
556.50897,80154.9,0.0044
556.94757,68851.1,0.0038
557.00684,61598,0.0034
557.45001,16921.1,0.0009
557.50854,14748.6,0.0008
557.94836,37934.3,0.0021
558.00879,9438.9,0.0005
559.95319,191589.6,0.0105
560.45502,45856.6,0.0025
560.95251,48499.3,0.0027
561.45355,20988.3,0.0011
561.95374,9904.2,0.0005
564.93048,50146,0.0027
565.43365,9880.8,0.0005
565.93201,15779.5,0.0009
566.92767,12164.7,0.0007
566.99731,113630.2,0.0062
567.4989,55888.2,0.0031
567.93866,26952.4,0.0015
567.99683,26908.5,0.0015
568.43774,10909.9,0.0006
568.50165,8422.6,0.0005
568.93829,14654,0.0008
570.94513,65778.7,0.0036
571.44519,19105.9,0.001
571.94366,13955.9,0.0008
575.92212,26152.7,0.0014
575.96429,27233.7,0.0015
576.42249,15767.5,0.0009
576.46533,20708.2,0.0011
576.52307,8069.1,0.0004
576.92163,19882.2,0.0011
577.98846,41277.3,0.0023
578.93103,15574.8,0.0009
581.93591,16426.7,0.0009
585.03473,9518.6,0.0005
586.95911,12589.8,0.0007
597.547,52550,0.0029
598.04803,18097,0.001
598.5462,11445,0.0006
599.04688,13479.7,0.0007
616.67712,10963,0.0006
620.42993,8970.3,0.0005
632.81659,15470.1,0.0008
669.3114,15220.8,0.0008
670.31281,9425.6,0.0005
670.96124,26730.4,0.0015
676.32245,9689.3,0.0005
679.56061,8642.5,0.0005
681.9964,7565.8,0.0004
688.00256,7696.3,0.0004
690.31879,8725.1,0.0005
691.64282,12859.2,0.0007
694.97717,13590,0.0007
696.29407,8513.9,0.0005
699.9873,13884.4,0.0008
702.30011,10307.9,0.0006
702.97638,235773.7,0.0129
703.31104,136995.8,0.0075
703.64301,132566.8,0.0072
703.97858,84106.4,0.0046
704.31158,47676,0.0026
704.97614,18256.9,0.001
705.31122,16440.5,0.0009
708.65192,306825,0.0168
708.98676,173360.7,0.0095
709.01422,13133.4,0.0007
709.31848,298943,0.0163
709.65222,167527.5,0.0092
709.98407,88463.6,0.0048
710.30255,169562.2,0.0093
710.52655,23494.4,0.0013
710.63721,167421.9,0.0092
710.96997,182832.1,0.01
711.03033,17910.7,0.001
711.30371,61864.8,0.0034
711.52618,13191,0.0007
711.63733,64785.5,0.0035
711.9715,18286.6,0.001
712.30707,10564.2,0.0006
713.32513,12684.3,0.0007
714.32745,78346.4,0.0043
714.66162,48043.5,0.0026
714.99384,35644.6,0.0019
