0,1,2
400.17693,1321.8,0.0013
400.37623,2596.9,0.0025
400.57668,1561.5,0.0015
401.02084,3732.2,0.0035
403.01766,2715.3,0.0026
403.84638,9661.9,0.0092
404.01334,7142.2,0.0068
404.17977,8477.4,0.008
404.34686,3617.6,0.0034
404.49653,1519.5,0.0014
404.51324,2654.9,0.0025
404.67926,1354.4,0.0013
404.95296,1086.6,0.001
406.65592,4405.4,0.0042
406.82279,3516.6,0.0033
406.84799,11890.6,0.0113
406.95033,3994,0.0038
406.98907,3848.9,0.0037
407.01522,10453.9,0.0099
407.16404,3922.7,0.0037
407.18164,10457.7,0.0099
407.33133,2782.2,0.0026
407.3486,5671.7,0.0054
407.49749,3592.1,0.0034
407.51496,3585.2,0.0034
407.66424,2221.5,0.0021
407.68145,1378.2,0.0013
407.8308,1346.8,0.0013
408.94729,2683.7,0.0025
408.99452,5457,0.0052
409.19608,4250.7,0.004
409.39457,3442.5,0.0033
409.59507,1442.8,0.0014
410.17086,1181.7,0.0011
410.33719,1369.6,0.0013
410.50367,1304.1,0.0012
410.67052,1106.1,0.001
412.59683,26340.9,0.025
412.79738,15904.5,0.0151
412.97575,9082.2,0.0086
412.99681,17216,0.0163
413.17607,4938.4,0.0047
413.19708,9027.4,0.0086
413.37532,6491.7,0.0062
413.39662,5123.8,0.0049
413.57544,3243.5,0.0031
413.59669,2024.7,0.0019
413.77485,2100.3,0.002
413.84929,1601.1,0.0015
414.01658,1369.3,0.0013
414.17147,1054.7,0.001
415.0365,1110.1,0.0011
416.02304,3007.9,0.0029
416.05152,2866.7,0.0027
416.19867,3394.3,0.0032
416.39922,2089.8,0.002
416.51579,1441.1,0.0014
416.59899,2454.5,0.0023
416.68286,1218.9,0.0012
416.79915,1268.1,0.0012
416.84942,1325.8,0.0013
417.17264,22450.7,0.0213
417.32337,9704.4,0.0092
417.33981,18570.8,0.0176
417.50619,20513.4,0.0195
417.67311,12351.5,0.0117
417.83945,7959.1,0.0076
418.00616,3881.5,0.0037
418.1728,1660.6,0.0016
418.32679,1355.8,0.0013
420.17451,17791.9,0.0169
420.34168,14988.7,0.0142
420.49126,2102.9,0.002
420.50798,15995.5,0.0152
420.65944,1627.4,0.0015
420.67491,9618.7,0.0091
420.82508,1981.7,0.0019
420.84132,5909.6,0.0056
420.96595,1866.5,0.0018
420.99255,1482.2,0.0014
421.00815,2850,0.0027
421.17443,1356.5,0.0013
422.52489,1887.7,0.0018
422.6919,1676.8,0.0016
422.85841,1653.8,0.0016
422.96314,1249.6,0.0012
423.02542,1222.6,0.0012
423.8303,1116.8,0.0011
424.98601,3490.5,0.0033
425.18663,2148.3,0.002
425.38607,2701.2,0.0026
425.58668,1086.7,0.001
425.78688,1071.5,0.001
427.17582,2539.2,0.0024
427.34324,1854.7,0.0018
427.50963,1846.4,0.0018
428.58829,90947.4,0.0863
428.78879,57843.2,0.0549
428.96665,7378.6,0.007
428.98818,67401.9,0.064
429.16743,4639.4,0.0044
429.18848,34741.4,0.033
429.36657,7040.8,0.0067
429.38799,22330.1,0.0212
429.56664,3468.7,0.0033
429.58804,9800.5,0.0093
429.76657,2447.9,0.0023
429.78763,4452.1,0.0042
429.98778,1646.3,0.0016
430.1753,1053.9,0.001
430.49877,28029.9,0.0266
430.66605,22877.4,0.0217
430.83224,27348.9,0.026
430.99907,17101.8,0.0162
431.16553,12304.7,0.0117
431.33223,5286.3,0.005
431.40864,2837.9,0.0027
431.49874,2804.5,0.0027
431.60913,1906.4,0.0018
431.80903,2205.6,0.0021
432.00948,1109.8,0.0011
432.19005,6137.4,0.0058
432.3907,3509.5,0.0033
432.5901,4196,0.004
432.79038,1966.7,0.0019
432.98914,1472,0.0014
433.50069,9616.3,0.0091
433.66772,7783.3,0.0074
433.83409,9147.7,0.0087
434.00104,6238.9,0.0059
434.16731,3819.2,0.0036
434.334,1838.6,0.0017
434.49939,1078.1,0.001
435.36525,1446.3,0.0014
435.69804,1307,0.0012
436.01818,1366.3,0.0013
440.21397,1153.5,0.0011
440.50284,1784.9,0.0017
440.66997,1220.8,0.0012
440.8361,1742.1,0.0017
440.97753,2985.7,0.0028
441.00311,1079.1,0.001
441.17837,1618.1,0.0015
441.37761,3209.7,0.003
441.57809,1738,0.0016
441.77787,1206.5,0.0011
443.82508,10505.2,0.01
443.99219,9039.3,0.0086
444.15864,11518.9,0.0109
444.32554,6935.9,0.0066
444.49183,4909.6,0.0047
444.57969,183267,0.1739
444.65846,2548.5,0.0024
444.78037,121903.5,0.1157
444.82481,1376.2,0.0013
444.97955,152990.1,0.1452
445.17977,81981.5,0.0778
445.37958,56948.1,0.054
445.57962,24701,0.0234
445.77925,12464.6,0.0118
445.97893,4899.9,0.0046
446.17895,1606.1,0.0015
446.82664,1740.8,0.0017
446.99386,1678.3,0.0016
447.15997,2101,0.002
447.32747,1120.7,0.0011
447.40011,5254.8,0.005
447.60063,3065.8,0.0029
